# TOTAL_GENES = 18880
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALA_APOPTOSIS                         SET      84      0.06238    0.0041517     0.092771      0.25067 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     -0.01015   -0.0011159      0.05357      0.57514 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24    -0.025858  -0.00092137      0.16311      0.56298 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.39166    -0.006373      0.44388       0.8112 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     0.016789   0.00070131      0.14947      0.45528 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      0.47775     0.013902      0.21667     0.013734 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181     0.074864    0.0072951     0.062037      0.11377 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114     -0.17074    -0.013228      0.08372      0.97929 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104     0.058807    0.0043527     0.084473      0.24317 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18     -0.23346   -0.0072052      0.19785      0.88099 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.099649     0.005837     0.095853      0.14927 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     -0.20927   -0.0096225      0.12883      0.94785 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11    -0.024283  -0.00058597      0.28379      0.53409 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12      0.28744    0.0072445      0.21983      0.09552 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     0.045456    0.0025372      0.11249      0.34308 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21      0.34219     0.011406      0.18922     0.035276 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42    -0.018794  -0.00088546      0.13361      0.55593 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17      0.19383    0.0058137      0.19715      0.16277 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161    -0.035679   -0.0032808      0.06779      0.70066 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43      0.15239    0.0072645      0.12271      0.10716 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44      -0.1412   -0.0068087      0.14268      0.83881 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37     0.037633    0.0016644      0.14574      0.39812 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     -0.21937    -0.012651      0.11077      0.97616 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16       0.3403    0.0099025      0.21743     0.058793 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55      0.28945       0.0156      0.11835    0.0072339 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30      0.19375    0.0077175       0.1768      0.13657 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     0.066683    0.0028273      0.13139      0.30589 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56    -0.082709   -0.0044979      0.11823      0.75789 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16      0.01994   0.00058024      0.23701      0.46648 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     203    0.0060248   0.00062138     0.057954       0.4586 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62     0.024831    0.0014206      0.11418      0.41393 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61      0.14592    0.0082809      0.10853     0.089402 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171    -0.041625   -0.0039436     0.062381       0.7477 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73      0.12157    0.0075451     0.099211      0.11022 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33     0.089924    0.0037563      0.12629      0.23823 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32     -0.15359    -0.006318      0.14443      0.85619 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49     -0.10584    -0.005385      0.11374      0.82394 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     0.027984    0.0012542      0.13086      0.41534 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45      0.21071     0.010275      0.11902     0.038335 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40     -0.02208   -0.0010152      0.12881      0.56805 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53    -0.012266  -0.00064901      0.11904      0.54103 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     151    -0.037506   -0.0033408     0.069679       0.7048 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45      0.18901    0.0092168      0.11907     0.056218 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9     0.051876    0.0011324       0.2533      0.41886 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     0.078841    0.0039704      0.11456      0.24566 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18     0.081905    0.0025278      0.19227      0.33506 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116     -0.01192  -0.00093151      0.08176      0.55796 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     0.040399    0.0014092      0.19318      0.41717 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46    -0.056238   -0.0027726      0.12591      0.67244 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23    -0.042518   -0.0014831      0.16682      0.60059 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     411      0.11705     0.017081      0.04302    0.0032593 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      83     0.060189    0.0039821     0.093892      0.26075 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.12374    0.0048459      0.17574      0.24069 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64     0.066109    0.0038426      0.10732      0.26896 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3     0.085766    0.0010811      0.54981      0.43802 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10      -0.1333    -0.003067      0.28885      0.67776 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7     -0.14054   -0.0027058      0.36928      0.64824 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14     -0.38712    -0.010538      0.23365      0.95122 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     163    -0.013151   -0.0012167      0.06372      0.58175 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      50     0.036746    0.0018885      0.11815       0.3779 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38      0.19646    0.0088051      0.14615     0.089453 BALDWIN_PRKCI_TARGETS_UP
