Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_TH_level2	Endothelial_Stalk_Flt1_Gkn3.4_1	15002	-0.018949	-0.051506	0.0048571	0.99995	1	1
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	15002	0.033037	0.091747	0.008137	2.4658e-05	0.001282216	0.01393177
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nnat.11_2	15002	0.034343	0.095387	0.0085766	3.127e-05	0.00162604	0.01766755
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2	15002	0.028148	0.079155	0.0070834	3.5538e-05	0.001847976	0.02007897
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Fos.11_3	15002	0.030841	0.0866	0.0077746	3.6591e-05	0.001902732	0.020673915
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Lypd1.10_2	15002	0.032181	0.089635	0.0083454	5.7865e-05	0.00300898	0.032693725
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Nefm.10_4	15002	0.030189	0.083995	0.0080546	8.9473e-05	0.004652596	0.050552245
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	15002	0.027168	0.076447	0.0072579	9.12e-05	0.0047424	0.051528
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Otof.13_4	15002	0.02487	0.070363	0.0068917	0.00015447	0.00803244	0.08727555
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Tpbg.13_1	15002	0.027062	0.076194	0.0076559	0.00020477	0.01064804	0.11569505
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Otof-Lmo2.13_3	15002	0.022092	0.062803	0.0069898	0.00078887	0.04102124	0.44571155
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Fos.10_1	15002	0.02379	0.066652	0.0078211	0.0011781	0.0612612	0.6656265
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Th.13_5	15002	0.016093	0.04715	0.0060992	0.0041684	0.2167568	1
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Pde1a.10_3	15002	0.020891	0.058496	0.0081728	0.0052959	0.2753868	1
DropViz_STR_level2	Neuron_Gad1Gad2_Pvalb-Rgs12.14_3	15002	0.014615	0.041702	0.006029	0.0076788	0.3992976	1
DropViz_STR_level2	Neuron_Gad1Gad2-Th_Trh.14_4	15002	0.014031	0.040037	0.0059799	0.0094849	0.4932148	1
DropViz_STR_level2	Neuron_Slc17a7_Dkk3.13_8	15002	0.0090711	0.028239	0.003992	0.011541	0.600132	1
DropViz_STR_level2	Neuron_Gad1Gad2_Pvalb_Pvalb-Megf11.14_1	15002	0.015478	0.043024	0.0069445	0.012922	0.671944	1
DropViz_STR_level2	Neuron_Slc17a6_Oprk1.13_6	15002	0.0069863	0.022576	0.0032953	0.017008	0.884416	1
DropViz_STR_level2	Neuron_Gad1Gad2_Sgol2a.13_11	15002	0.0042237	0.013159	0.0028173	0.066924	1	1
DropViz_STR_level2	Neuron_Gad1Gad2_Chodl.15_1	15002	0.010406	0.028465	0.0071956	0.074072	1	1
DropViz_STR_level2	Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1	15002	0.0076542	0.021326	0.0064621	0.11812	1	1
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Nfib.13_10	15002	0.0055653	0.016804	0.0049063	0.12834	1	1
DropViz_STR_level2	Neuron_Gad1Gad2_Pnoc.14_2	15002	0.0043965	0.013576	0.0041772	0.1463	1	1
DropViz_STR_level2	Macrophage_C1qb_Mrc1.6_1	15002	0.0028085	0.0085687	0.0030875	0.18151	1	1
DropViz_STR_level2	Neuron_Gad1Gad2_Resp18.13_9	15002	0.0056212	0.015927	0.0068773	0.20687	1	1
DropViz_STR_level2	Neuron_Slc17a7_Cplx3.13_7	15002	0.00094639	0.0028319	0.0048678	0.42293	1	1
DropViz_STR_level2	Microglia_C1qb_Tmem119.6_2	15002	-0.00053298	-0.0014313	0.005059	0.54195	1	1
DropViz_STR_level2	Oligodendrocyte_Trf_Il33.3_2	15002	-0.001288	-0.0034033	0.006465	0.57896	1	1
DropViz_STR_level2	Polydendrocye_Tnr_Ctps.5_4	15002	-0.0013644	-0.0040865	0.0033638	0.65748	1	1
DropViz_STR_level2	Oligodendrocyte_Trf_Ctps.3_3	15002	-0.0022423	-0.0060758	0.0054849	0.65866	1	1
DropViz_STR_level2	Astrocyte_Gja1_Notum.4_3	15002	-0.00434	-0.011917	0.0052143	0.79738	1	1
DropViz_STR_level2	Oligodendrocyte_Trf_Klk6.3_1	15002	-0.0048065	-0.012963	0.0055959	0.8048	1	1
DropViz_STR_level2	Polydendrocye_Tnr_Pdgfa.5_3	15002	-0.0050206	-0.014591	0.004632	0.86078	1	1
DropViz_STR_level2	Polydendrocye_Tnr_Cspg5.5_1	15002	-0.0066411	-0.018437	0.0061052	0.86164	1	1
DropViz_STR_level2	Neurogenesis_Sox4_Stmn2.2_2	15002	-0.0059948	-0.01784	0.0044412	0.91145	1	1
DropViz_STR_level2	Polydendrocye_Tnr_Bmp4.5_2	15002	-0.0074502	-0.021728	0.0049676	0.93315	1	1
DropViz_STR_level2	Mural_Rgs5Acta2_Col3a1.8_5	15002	-0.0047739	-0.015002	0.0030685	0.94011	1	1
DropViz_STR_level2	Neurogenesis_Sox4_Ung.2_1	15002	-0.0088126	-0.025264	0.0050023	0.96093	1	1
DropViz_STR_level2	Astrocyte_Gja1_Sparc-Car2.4_2	15002	-0.010691	-0.028045	0.0059092	0.96478	1	1
DropViz_STR_level2	Mural_Rgs5Acta2_Kcnj8.8_4	15002	-0.0075672	-0.022748	0.00379	0.97706	1	1
DropViz_STR_level2	Mural_Rgs5Acta2_Olfr558.8_1	15002	-0.0082728	-0.024008	0.0040923	0.97838	1	1
DropViz_STR_level2	Ependyma_Ccdc153_Ccdc153.1_1	15002	-0.0097002	-0.025429	0.0047681	0.97903	1	1
DropViz_STR_level2	Neurogenesis_Sox4_Stmn2-Csrp2.2_4	15002	-0.0087178	-0.026012	0.0041339	0.98251	1	1
DropViz_STR_level2	Neurogenesis_Sox4_Hist1h2al.2_5	15002	-0.010992	-0.031033	0.0050054	0.98594	1	1
DropViz_STR_level2	Neurogenesis_Sox4_Notum.2_6	15002	-0.0092053	-0.027794	0.0039872	0.98951	1	1
DropViz_STR_level2	Astrocyte_Gja1_Htra1.4_1	15002	-0.014362	-0.037473	0.0059439	0.99215	1	1
DropViz_STR_level2	Endothelial_Tip_Dcn.9_1	15002	-0.013093	-0.036683	0.0049552	0.99588	1	1
DropViz_STR_level2	Neurogenesis_Sox4_Tuba1c.2_3	15002	-0.012675	-0.03624	0.004721	0.99637	1	1
DropViz_STR_level2	Endothelial_Stalk_Flt1_Gkn3.7_2	15002	-0.014322	-0.039738	0.0046533	0.99896	1	1
DropViz_STR_level2	Mural_Rgs5Acta2_Cnn1.8_2	15002	-0.01159	-0.034201	0.0036801	0.99918	1	1
DropViz_STR_level2	Mural_Rgs5Acta2_Ccnd1.8_3	15002	-0.013621	-0.039344	0.0042396	0.99934	1	1
DropViz_STR_level2	Endothelial_Stalk_Flt1_Car4.7_1	15002	-0.018285	-0.049915	0.0050094	0.99987	1	1
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2.3_3	15002	0.029538	0.078552	0.0083554	0.00020438	0.01205842	0.1154747
DropViz_SN_level2	Neuron_Gad1Gad2_Sema3e.3_13	15002	0.025413	0.068399	0.0075223	0.00036553	0.02156627	0.20652445
DropViz_SN_level2	Neuron_Slc17a6_Cacna2d1.3_10	15002	0.024952	0.065698	0.0079713	0.00087532	0.05164388	0.4945558
DropViz_SN_level2	Neuron_Slc17a6.2_1	15002	0.019622	0.054787	0.0063704	0.0010364	0.0611476	0.585566
DropViz_SN_level2	Neuron_Slc17a6-Gad2-Th_Crhbp.3_7	15002	0.02019	0.056361	0.0065713	0.0010638	0.0627642	0.601047
DropViz_SN_level2	Neuron_Gad1Gad2_Tmem132c.3_19	15002	0.016899	0.04761	0.0057369	0.0016135	0.0951965	0.9116275
DropViz_SN_level2	Neuron_Th_Cbln1.4_2	15002	0.015027	0.043781	0.0051081	0.0016345	0.0964355	0.9234925
DropViz_SN_level2	Neuron_Gad1Gad2_Pax5.3_18	15002	0.020592	0.055041	0.0073814	0.0026416	0.1558544	1
DropViz_SN_level2	Neuron_Slc17a6_Nkx6-1.3_12	15002	0.019685	0.05372	0.0072666	0.0033793	0.1993787	1
DropViz_SN_level2	Neuron_Gad1Gad2_Ndnf.3_4	15002	0.013408	0.039585	0.0051184	0.004406	0.259954	1
DropViz_SN_level2	Neuron_Th_Aldh1a1.4_8	15002	0.016852	0.04643	0.0066699	0.005764	0.340076	1
DropViz_SN_level2	Neuron_Slc17a6_C1ql2.3_15	15002	0.018573	0.04974	0.0073511	0.005766	0.340194	1
DropViz_SN_level2	Neuron_Slc17a6_Nts.3_9	15002	0.01439	0.040327	0.0061091	0.0092571	0.5461689	1
DropViz_SN_level2	Neuron_Gad1Gad2_Ttn.3_14	15002	0.017518	0.047853	0.0074999	0.0097568	0.5756512	1
DropViz_SN_level2	Neuron_Slc17a6_Tcf4.3_6	15002	0.014276	0.039433	0.0066224	0.015559	0.917981	1
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2-Kcnc3.3_16	15002	0.012793	0.035269	0.0060162	0.016743	0.987837	1
DropViz_SN_level2	Neuron_Gad1Gad2_Sema3e-Kcng4.3_17	15002	0.010979	0.030899	0.0051888	0.017188	1	1
DropViz_SN_level2	Neuron_Th_Nefl.4_7	15002	0.012222	0.03389	0.0063113	0.026409	1	1
DropViz_SN_level2	Neuron_Slc17a6_Shox2.3_11	15002	0.012203	0.033539	0.0065313	0.03087	1	1
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	15002	0.012451	0.034154	0.0067442	0.032446	1	1
DropViz_SN_level2	Neuron_Th_Cyp26b1.4_3	15002	0.011423	0.032026	0.0063439	0.035895	1	1
DropViz_SN_level2	Neuron_Slc17a7_C1ql3.1_1	15002	0.0069892	0.02124	0.0042449	0.049842	1	1
DropViz_SN_level2	Neuron_Th-Slc17a6-Lpl.4_1	15002	0.0096633	0.026879	0.0063933	0.065346	1	1
DropViz_SN_level2	Neuron_Th_Vcan.4_5	15002	0.0096513	0.026868	0.0064152	0.066245	1	1
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2-Fos.3_8	15002	0.0075048	0.022007	0.0049935	0.066441	1	1
DropViz_SN_level2	Neuron_Gad1Gad2_Nfib-Satb1.3_1	15002	0.0095098	0.026622	0.0063337	0.06663	1	1
DropViz_SN_level2	Neuron_Th_C1ql3.4_4	15002	0.0068056	0.019517	0.005587	0.1116	1	1
DropViz_SN_level2	Neuron_Gad1Gad2_Otx2-Chrna3.3_2	15002	0.0063338	0.018587	0.0054515	0.12266	1	1
DropViz_SN_level2	Neuron_Gad1Gad2_Rln3.3_5	15002	0.0038517	0.011684	0.004358	0.18841	1	1
DropViz_SN_level2	Oligodendrocyte_Tfr_Ctps.10_5	15002	0.0046113	0.01223	0.0059812	0.22037	1	1
DropViz_SN_level2	Oligodendrocyte_Tfr_Plin3.10_2	15002	0.0030509	0.0080936	0.0057765	0.2987	1	1
DropViz_SN_level2	Oligodendrocyte_Tfr_Slco3a1.10_1	15002	0.0029937	0.0078405	0.006363	0.31901	1	1
