# MEAN_SAMPLE_SIZE = 68133
# TOTAL_GENES = 18909
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131      0.24123     0.020009     0.078813    0.0011054 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84      0.13365    0.0088886     0.089362      0.06738 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     0.029619    0.0032537     0.053962      0.29155 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24     -0.28896    -0.010288      0.17103      0.95443 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5     -0.89226    -0.014508      0.45054      0.97616 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33      0.11363    0.0047429      0.15239      0.22795 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16    -0.015796  -0.00045931      0.22686      0.52776 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181   -0.0035854  -0.00034911      0.06233      0.52294 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114    0.0024959   0.00019321     0.084372       0.4882 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104   -0.0042265  -0.00031259      0.08452      0.51994 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18    -0.078913   -0.0024336      0.19018      0.66091 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.042479    0.0024864     0.098964      0.33388 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     -0.14222   -0.0065343      0.13206      0.85923 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11       0.4434     0.010692      0.28889      0.06242 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12    0.0057212   0.00014408      0.22778      0.48998 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59    0.0048751    0.0002719      0.11153      0.48257 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    -0.099063   -0.0032996      0.18634      0.70251 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42    0.0088852    0.0004183      0.13946       0.4746 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17    -0.048513    -0.001454      0.20252      0.59466 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161     -0.12227    -0.011235     0.068662      0.96252 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     0.012698   0.00060484      0.13291      0.46194 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44      0.16748    0.0080698      0.14353      0.12163 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37     -0.19319   -0.0085378      0.14917      0.90236 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     -0.24708    -0.014238      0.11276      0.98577 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16     0.005635   0.00016385      0.22067      0.48981 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55    -0.086977   -0.0046841      0.11727      0.77086 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30    -0.077813    -0.003097      0.17843      0.66862 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     0.032318    0.0013692      0.12682      0.39943 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56      -0.2808    -0.015259      0.12194      0.98935 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16     -0.22046   -0.0064103      0.24448      0.81639 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     203    -0.025502   -0.0026282     0.057953      0.67005 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62     0.022772    0.0013019      0.11806      0.42352 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61     0.026424    0.0014984      0.10978      0.40489 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171    -0.016099    -0.001524     0.065268      0.59741 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73   -0.0085961  -0.00053309     0.095583      0.53583 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33      0.17781    0.0074218      0.13307     0.090756 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32     -0.32528     -0.01337      0.14911      0.98542 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49     0.015179   0.00077169      0.11784      0.44876 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38   -0.0040446  -0.00018114      0.13889      0.51162 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45      0.12603     0.006141      0.11985      0.14651 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40     0.040596    0.0018652      0.13178      0.37902 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     0.071401    0.0037749      0.11782      0.27225 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     151     -0.16815    -0.014967     0.070414      0.99153 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45     -0.22975    -0.011195       0.1275      0.96421 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.12666    0.0027627      0.26059      0.31346 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48      0.07941     0.003996      0.11455      0.24409 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18     -0.37609    -0.011599      0.19765      0.97146 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116     -0.14695    -0.011475     0.085042        0.958 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     -0.18319   -0.0063854      0.20308      0.81649 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46      0.14463    0.0071252      0.12643      0.12632 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23    0.0048694   0.00016973      0.17539      0.48893 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     411    -0.016894   -0.0024635     0.043911      0.64978 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      83     0.061949    0.0040954     0.095225      0.25767 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.15817    0.0061897      0.17743      0.18635 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64     0.028349    0.0016465      0.10918      0.39757 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3     0.019492   0.00024551      0.59335       0.4869 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     0.057665    0.0013258      0.29133      0.42155 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.23411    0.0045036      0.37493      0.26618 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      0.10591    0.0028807      0.23737      0.32774 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     163     0.035247    0.0032584     0.065017      0.29387 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      50     -0.12255   -0.0062938      0.12002      0.84638 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38      0.11034    0.0049416      0.15104      0.23253 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13   0.00073926   1.9377e-05      0.23362      0.49874 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32      -0.1856    -0.007629       0.1442      0.90096 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.20966    0.0043117      0.27101      0.21958 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     151    0.0052696   0.00046903     0.066592      0.46846 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18    -0.028776  -0.00088743      0.18062      0.56329 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9     0.047155    0.0010285      0.33086      0.44333 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12     0.023853   0.00060071      0.20982      0.45475 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30      0.15387    0.0061243      0.15506      0.16053 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     0.079201    0.0024425      0.18721      0.33613 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14    -0.086077   -0.0023414      0.20264      0.66449 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     -0.37288    -0.011499      0.20652       0.9645 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54   -0.0063036  -0.00033639      0.11348      0.52215 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23    0.0040282   0.00014041      0.17379      0.49075 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      29     0.057122    0.0022353      0.15469      0.35597 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31      0.19494    0.0078868      0.15355      0.10213 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     0.035764   0.00082225      0.24461      0.44188 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15    -0.065851    -0.001854      0.19226      0.63401 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15    -0.083896   -0.0023621      0.23809      0.63772 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39      -0.1743    -0.007908      0.13594      0.90011 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     366   -0.0077291   -0.0010649     0.045297      0.56774 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     273     0.023876    0.0028482     0.048788      0.31229 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     138     0.051006    0.0043416     0.067963      0.22648 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      70      0.17293     0.010502      0.11172     0.060832 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98     0.082225    0.0059043     0.089836      0.18003 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.10371   -0.0016862      0.37018      0.61032 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      77      0.07556     0.004812      0.10284      0.23125 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11      0.19593    0.0047243      0.25233      0.21875 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31      0.14996    0.0060671      0.14846      0.15622 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50     0.053426    0.0027437      0.11828      0.32575 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      53    -0.081413   -0.0043042      0.11857      0.75383 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7     0.030914   0.00059471      0.38685      0.46815 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45     -0.09394   -0.0045774      0.14188      0.74604 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54     -0.29693    -0.015845      0.12692      0.99034 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64    -0.024517    -0.001424      0.10266      0.59438 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37        0.204    0.0090154      0.13842     0.070285 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47    -0.030724   -0.0015299      0.12459      0.59739 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      29      0.10422    0.0040785      0.16266      0.26085 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     620    -0.033994   -0.0060539     0.032914      0.84914 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     943    0.0075615     0.001646     0.031184       0.4042 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     352     0.086631      0.01171     0.042957     0.021871 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36    -0.023749   -0.0010353      0.13641       0.5691 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8      0.29794    0.0061271      0.30977      0.16808 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96      0.15872      0.01128     0.089386     0.037906 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1026     0.016766    0.0037981     0.029867      0.28728 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     725     0.068451     0.013144      0.03002     0.011304 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     210     0.012117    0.0012698     0.056343      0.41487 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     942     0.023132     0.005033     0.028534      0.20878 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     174       0.1382     0.013196     0.066277     0.018536 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     277       0.1063     0.012772     0.051967     0.020405 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     591   -0.0083386    -0.001451     0.039899      0.58277 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145    -0.018597   -0.0016223     0.066455       0.6102 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     705     0.042128    0.0079816     0.032583     0.098025 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     906    -0.019935   -0.0042578     0.032047      0.73304 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      -0.2448    -0.012319      0.14311      0.95641 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28    -0.018359  -0.00070595      0.15218      0.54801 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     380    -0.063067   -0.0088504     0.043526      0.92631 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28    -0.039457   -0.0015172      0.15847      0.59831 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20     -0.24662   -0.0080165      0.20323      0.88752 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28     0.069801    0.0026841      0.18537      0.35326 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8      0.21511    0.0044238      0.32626      0.25485 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     519     0.048236    0.0078812      0.03584     0.089183 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.35783    -0.005204      0.47127      0.77615 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.17048     0.009264      0.11764     0.073649 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36    -0.024413   -0.0010642      0.13811      0.57015 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43     -0.14063   -0.0066987      0.12288      0.87377 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24      0.20637    0.0073477       0.1699      0.11225 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    -0.076852   -0.0071047      0.07196      0.85723 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     194   -0.0021235  -0.00021399     0.060201      0.51407 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     117    -0.046872   -0.0036756     0.075414      0.73287 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111     0.081355     0.006215     0.075281      0.13993 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      80     0.082614    0.0053624       0.0884      0.17502 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87      0.14131    0.0095634     0.098689     0.076097 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     202     0.033833    0.0034782     0.063074      0.29584 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
BHAT_ESR1_TARGETS_VIA_AKT1_DN            SET      82     0.028053    0.0018434      0.10371       0.3934 BHAT_ESR1_TARGETS_VIA_AKT1_DN
BHAT_ESR1_TARGETS_VIA_AKT1_UP            SET     271    -0.032071   -0.0038119     0.053076      0.72716 BHAT_ESR1_TARGETS_VIA_AKT1_UP
BIDUS_METASTASIS_DN                      SET     142     0.043717    0.0037743     0.067838      0.25965 BIDUS_METASTASIS_DN
