Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
49_Siletti_CerebralNuclei.SI_Human_2022_level2	Eccentric_medium_spiny_neuron	11	16805	0.026206	0.056224	0.013761	0.028441	0.037347	0.080128	0.01039	0.00016306	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00011335	0.408182934508141	0.959973951980777
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	12	16834	0.017787	0.037738	0.0083846	0.016951	0.025105	0.053262	0.0077775	0.00062493	15_Siletti_CerebralCortex.Ig_Human_2022_level2	0.00037273	0.552656517997906	0.934539854626111
15_Siletti_CerebralCortex.Ig_Human_2022_level2	Eccentric_medium_spiny_neuron	12	16834	0.010225	0.026618	0.0043812	0.0098067	0.013701	0.035665	0.0040638	0.0003749	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00034499	0.586231038731245	0.989570503830628
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	13	16700	0.01752	0.037238	0.0087344	0.022445	0.025609	0.054433	0.0077545	0.00048015	100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	0.00037273	0.496856785803088	0.967922066551038
100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	Eccentric_medium_spiny_neuron	13	16700	0.019236	0.033661	0.0095616	0.02213	0.028066	0.049112	0.0084889	0.000474	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00043816	0.49786649513204	0.989832674336355
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	14	16226	0.020188	0.043185	0.008109	0.0064006	0.024364	0.052118	0.0079025	0.0010262	106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	0.00037273	0.734007899037775	0.871715296007569
106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	Thalamic_excitatory	14	16226	0.016982	0.04134	0.0074139	0.011003	0.021132	0.051443	0.0072253	0.0017268	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00021923	0.708889057740511	0.755037563288375
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	15	16444	0.010536	0.022471	0.011849	0.18697	0.025432	0.05424	0.0077567	0.0005227	110_Siletti_Thalamus.LNC.VA_Human_2022_level2	0.00037273	0.221902529669349	0.957166800225626
110_Siletti_Thalamus.LNC.VA_Human_2022_level2	Eccentric_medium_spiny_neuron	15	16444	0.022795	0.052552	0.013708	0.048184	0.032009	0.073796	0.0089731	0.00018092	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00017966	0.351928504109826	0.999189655762285
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	16	15678	0.0232	0.049991	0.0082314	0.0024162	0.024346	0.052462	0.0081227	0.0013642	336_Seeker2023_WhiteMatter_Human_2023_CSC_Young_level2	0.00037273	0.913352786124996	0.835652229130503
