Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_ENT_level2	Neuron_Gad1Gad2_Six3-Pvalb.4_2	13	15085	0.009961	0.02851	0.0058271	0.043697	0.0038255	0.562421604801968
DropViz_ENT_level2	Neuron_Gad1Gad2_Tcf7l2.4_5	13	15085	0.0061246	0.018167	0.0051217	0.1159	0.0088712	0.456095771579254
DropViz_ENT_level2	Neuron_Slc17a6_Pitx2.4_6	14	15085	0.011939	0.032657	0.0068316	0.040281	0.0013225	0.484575023741412
DropViz_ENT_level2	Neuron_Gad1Gad2_Six3-Pvalb.4_2	14	15085	0.006738	0.019285	0.0063395	0.14393	0.0038255	0.348258208478243
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Ntng1.4_8	15	15085	0.0086598	0.024746	0.0054649	0.056537	0.0028103	0.489042058723359
DropViz_ENT_level2	Neuron_Gad1Gad2_Six3-Pvalb.4_2	15	15085	0.0083624	0.023935	0.0059788	0.080966	0.0038255	0.451616261785582
DropViz_ENT_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.4_3	16	15085	0.0085462	0.024666	0.006111	0.080992	0.0042624	0.460505753200382
DropViz_ENT_level2	Neuron_Gad1Gad2_Dlk1.4_4	16	15085	0.0072516	0.019752	0.0073668	0.16248	0.0074301	0.370689577126198
DropViz_ENT_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.4_3	17	15085	0.0091424	0.026387	0.0053507	0.04377	0.0042624	0.573259587354324
DropViz_ENT_level2	Neuron_Gad1Gad2_Tcf7l2.4_5	17	15085	0.0064156	0.01903	0.0050391	0.10149	0.0088712	0.48419503477567
DropViz_ENT_level2	Neuron_Slc17a6_Pitx2.4_6	18	15085	0.012138	0.033201	0.0069002	0.039297	0.0013225	0.488306292643186
DropViz_ENT_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.4_3	18	15085	0.0059046	0.017042	0.005976	0.16158	0.0042624	0.333964941848668
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Ntng1.4_8	19	15085	0.0087042	0.024873	0.0055638	0.05887	0.0028103	0.482158650860211
DropViz_ENT_level2	Neuron_Gad1Gad2-Slc17a6_Cbln1.4_3	19	15085	0.0074051	0.021373	0.0056811	0.096217	0.0042624	0.428945088800704
DropViz_ENT_level2	Neuron_Gad1Gad2_Dlk1.4_4	20	15085	0.0090123	0.024548	0.0070485	0.10053	0.0074301	0.468624619285865
DropViz_ENT_level2	Neuron_Gad1Gad2_Tcf7l2.4_5	20	15085	0.0063342	0.018788	0.0055065	0.12502	0.0088712	0.440064691665646
DropViz_ENT_level2	Neuron_Slc17a6_Pitx2.4_6	21	15085	0.014166	0.038748	0.0078557	0.035688	0.0013225	0.502840136820909
DropViz_ENT_level2	Neuron_Gad1Gad2_Dlk1.4_4	21	15085	0.0031425	0.0085597	0.0082018	0.35081	0.0074301	0.213681021168517
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Ntng1.4_8	22	15085	0.0094958	0.027135	0.0061621	0.061669	0.0028103	0.474251589011233
DropViz_ENT_level2	Neuron_Gad1Gad2_Dlk1.4_4	22	15085	0.0060655	0.016521	0.007585	0.21196	0.0074301	0.316460497370009
DropViz_ENT_level2	Neuron_Slc17a6_Pitx2.4_6	23	15085	0.013228	0.036185	0.0064228	0.019727	0.0013225	0.592279718332824
DropViz_ENT_level2	Neuron_Gad1Gad2_Tcf7l2.4_5	23	15085	0.0047594	0.014117	0.0052387	0.18181	0.0088712	0.36080695532519
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Ntng1.4_8	24	15085	0.0097747	0.027932	0.0052473	0.031255	0.0028103	0.58993908076327
DropViz_ENT_level2	Neuron_Gad1Gad2_Tcf7l2.4_5	24	15085	0.0060194	0.017855	0.0050458	0.11646	0.0088712	0.455075629364937
DropViz_ENT_level2	Neuron_Slc17a6_Pitx2.4_6	25	15085	0.011349	0.031045	0.0072404	0.058509	0.0013225	0.428255219468325
DropViz_ENT_level2	Neuron_Gad1Gad2_Pvalb-Ntng1.4_8	25	15085	0.0064045	0.018301	0.0061413	0.14852	0.0028103	0.324631427950347
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	26	15085	0.025273	0.069595	0.0088649	0.002183	0.0002541	0.740180728030943
DropViz_FC_level2	Neuron_Gad1Gad2_Pvalb-Necab1.2_9	26	15085	0.010238	0.027946	0.0087353	0.1206	0.01046	0.463856293494116
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	27	15085	0.026693	0.073506	0.0083527	0.00069887	0.0002541	0.877776828015158
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Sema5a.3_1	27	15085	0.024282	0.066636	0.0095438	0.0054802	0.0019305	0.833061355838869
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	28	15085	0.027693	0.076259	0.0083263	0.0004417	0.0002541	0.933206385033769
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Bdnf.3_11	28	15085	0.014054	0.040701	0.0064047	0.014116	0.0078261	0.878389851878898
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	29	15085	0.026523	0.073038	0.0083408	0.00073809	0.0002541	0.871180735122794
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Kit.3_12	29	15085	0.030117	0.083284	0.0095617	0.00081886	0.00028156	0.869413331506163
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	30	15085	0.027323	0.075242	0.0083389	0.00052654	0.0002541	0.911981331109377
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Fos.3_13	30	15085	0.019478	0.054339	0.0088563	0.013934	0.0064261	0.846660459315731
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	31	15085	0.027299	0.075174	0.0083333	0.00052793	0.0002541	0.911662840377245
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Etv1.3_2	31	15085	0.020153	0.056858	0.0082164	0.0070935	0.0033109	0.866569632051785
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	32	15085	0.027287	0.075143	0.0083226	0.00052262	0.0002541	0.912884070388213
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Efna5.3_3	32	15085	0.029798	0.081781	0.0095027	0.00085887	0.00041594	0.906861992323167
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	33	15085	0.027595	0.075988	0.0083295	0.00046284	0.0002541	0.927558676549174
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Cyp26b1.3_4	33	15085	0.020316	0.055993	0.0092862	0.014352	0.0075723	0.869064383404757
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	34	15085	0.02699	0.074324	0.0083568	0.00062096	0.0002541	0.892055781944149
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Slc30a3.3_5	34	15085	0.018717	0.051546	0.0088402	0.01713	0.0066089	0.810251057670441
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	35	15085	0.027662	0.076173	0.0083171	0.00044186	0.0002541	0.933162632831647
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Slc24a2.3_6	35	15085	0.019657	0.054852	0.0065422	0.0013318	0.00076036	0.921955353689877
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	36	15085	0.026974	0.074279	0.0083336	0.00060587	0.0002541	0.895027740378456
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Lypd1.3_7	36	15085	0.027407	0.075398	0.0094672	0.0018993	0.00078672	0.876690977700899
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	37	15085	0.027106	0.074644	0.0083524	0.00058795	0.0002541	0.898654742021311
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Sema3c.3_9	37	15085	0.019234	0.053152	0.0092173	0.018464	0.0075242	0.81640773365721
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	38	15085	0.025919	0.071373	0.0083648	0.00097436	0.0002541	0.837631282573009
