annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	15	0.02	2.14534778294786	0.00632066303439709
UTR5	71546	0.00285251910856087	0	0	0	0.285988700874049
downstream	284177	0.0113300579027968	18	0.024	2.1182592539157	0.00301634664261067
exonic	254736	0.0101562534263042	4	0.00533333333333333	0.525128027971443	0.269399066307093
intergenic	11684523	0.465858680176655	526	0.701333333333333	1.50546370214114	9.33053791740092e-39
intronic	9137749	0.364319509570527	161	0.214666666666667	0.589226382412854	9.34649006810969e-19
ncRNA_exonic	259951	0.0103641740249561	8	0.0106666666666667	1.02918637230349	0.856193075122279
ncRNA_intronic	2884355	0.114998431126451	3	0.004	0.0347830832196454	5.2926085975641e-35
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.00133333333333333	11.817050647821	0.0811473643754863
upstream	266686	0.0106326966005879	14	0.0186666666666667	1.75559101965108	0.0463339719843324
